dias_mora;rango_mora
0;0
1;1-5
2;1-5
3;1-5
4;1-5
5;1-5
6;6-30
7;6-30
8;6-30
9;6-30
10;6-30
11;6-30
12;6-30
13;6-30
14;6-30
15;6-30
16;6-30
17;6-30
18;6-30
19;6-30
20;6-30
21;6-30
22;6-30
23;6-30
24;6-30
25;6-30
26;6-30
27;6-30
28;6-30
29;6-30
30;6-30
31;31-60
32;31-60
33;31-60
34;31-60
35;31-60
36;31-60
37;31-60
38;31-60
39;31-60
40;31-60
41;31-60
42;31-60
43;31-60
44;31-60
45;31-60
46;31-60
47;31-60
48;31-60
49;31-60
50;31-60
51;31-60
52;31-60
53;31-60
54;31-60
55;31-60
56;31-60
57;31-60
58;31-60
59;31-60
60;31-60
61;61-90
62;61-90
63;61-90
64;61-90
65;61-90
66;61-90
67;61-90
68;61-90
69;61-90
70;61-90
71;61-90
72;61-90
73;61-90
74;61-90
75;61-90
76;61-90
77;61-90
78;61-90
79;61-90
80;61-90
81;61-90
82;61-90
83;61-90
84;61-90
85;61-90
86;61-90
87;61-90
88;61-90
89;61-90
90;61-90
91;91-120
92;91-120
93;91-120
94;91-120
95;91-120
96;91-120
97;91-120
98;91-120
99;91-120
100;91-120
101;91-120
102;91-120
103;91-120
104;91-120
105;91-120
106;91-120
107;91-120
108;91-120
109;91-120
110;91-120
111;91-120
112;91-120
113;91-120
114;91-120
115;91-120
116;91-120
117;91-120
118;91-120
119;91-120
120;91-120
121;121-150
122;121-150
123;121-150
124;121-150
125;121-150
126;121-150
127;121-150
128;121-150
129;121-150
130;121-150
131;121-150
132;121-150
133;121-150
134;121-150
135;121-150
136;121-150
137;121-150
138;121-150
139;121-150
140;121-150
141;121-150
142;121-150
143;121-150
144;121-150
145;121-150
146;121-150
147;121-150
148;121-150
149;121-150
150;121-150
151;151-180
152;151-180
153;151-180
154;151-180
155;151-180
156;151-180
157;151-180
158;151-180
159;151-180
160;151-180
161;151-180
162;151-180
163;151-180
164;151-180
165;151-180
166;151-180
167;151-180
168;151-180
169;151-180
170;151-180
171;151-180
172;151-180
173;151-180
174;151-180
175;151-180
176;151-180
177;151-180
178;151-180
179;151-180
180;151-180
181;181-210
182;181-210
183;181-210
184;181-210
185;181-210
186;181-210
187;181-210
188;181-210
189;181-210
190;181-210
191;181-210
192;181-210
193;181-210
194;181-210
195;181-210
196;181-210
197;181-210
198;181-210
199;181-210
200;181-210
201;181-210
202;181-210
203;181-210
204;181-210
205;181-210
206;181-210
207;181-210
208;181-210
209;181-210
210;181-210
211;211-240
212;211-240
213;211-240
214;211-240
215;211-240
216;211-240
217;211-240
218;211-240
219;211-240
220;211-240
221;211-240
222;211-240
223;211-240
224;211-240
225;211-240
226;211-240
227;211-240
228;211-240
229;211-240
230;211-240
231;211-240
232;211-240
233;211-240
234;211-240
235;211-240
236;211-240
237;211-240
238;211-240
239;211-240
240;211-240
241;241-270
242;241-270
243;241-270
244;241-270
245;241-270
246;241-270
247;241-270
248;241-270
249;241-270
250;241-270
251;241-270
252;241-270
253;241-270
254;241-270
255;241-270
256;241-270
257;241-270
258;241-270
259;241-270
260;241-270
261;241-270
262;241-270
263;241-270
264;241-270
265;241-270
266;241-270
267;241-270
268;241-270
269;241-270
270;241-270
271;271-300
272;271-300
273;271-300
274;271-300
275;271-300
276;271-300
277;271-300
278;271-300
279;271-300
280;271-300
281;271-300
282;271-300
283;271-300
284;271-300
285;271-300
286;271-300
287;271-300
288;271-300
289;271-300
290;271-300
291;271-300
292;271-300
293;271-300
294;271-300
295;271-300
296;271-300
297;271-300
298;271-300
299;271-300
300;271-300
301;301-330
302;301-330
303;301-330
304;301-330
305;301-330
306;301-330
307;301-330
308;301-330
309;301-330
310;301-330
311;301-330
312;301-330
313;301-330
314;301-330
315;301-330
316;301-330
317;301-330
318;301-330
319;301-330
320;301-330
321;301-330
322;301-330
323;301-330
324;301-330
325;301-330
326;301-330
327;301-330
328;301-330
329;301-330
330;301-330
331;331-360
332;331-360
333;331-360
334;331-360
335;331-360
336;331-360
337;331-360
338;331-360
339;331-360
340;331-360
341;331-360
342;331-360
343;331-360
344;331-360
345;331-360
346;331-360
347;331-360
348;331-360
349;331-360
350;331-360
351;331-360
352;331-360
353;331-360
354;331-360
355;331-360
356;331-360
357;331-360
358;331-360
359;331-360
360;331-360
361;361-390
362;361-390
363;361-390
364;361-390
365;361-390
366;361-390
367;361-390
368;361-390
369;361-390
370;361-390
371;361-390
372;361-390
373;361-390
374;361-390
375;361-390
376;361-390
377;361-390
378;361-390
379;361-390
380;361-390
381;361-390
382;361-390
383;361-390
384;361-390
385;361-390
386;361-390
387;361-390
388;361-390
389;361-390
390;361-390
391;391-420
392;391-420
393;391-420
394;391-420
395;391-420
396;391-420
397;391-420
398;391-420
399;391-420
400;391-420
401;391-420
402;391-420
403;391-420
404;391-420
405;391-420
406;391-420
407;391-420
408;391-420
409;391-420
410;391-420
411;391-420
412;391-420
413;391-420
414;391-420
415;391-420
416;391-420
417;391-420
418;391-420
419;391-420
420;391-420
421;421-450
422;421-450
423;421-450
424;421-450
425;421-450
426;421-450
427;421-450
428;421-450
429;421-450
430;421-450
431;421-450
432;421-450
433;421-450
434;421-450
435;421-450
436;421-450
437;421-450
438;421-450
439;421-450
440;421-450
441;421-450
442;421-450
443;421-450
444;421-450
445;421-450
446;421-450
447;421-450
448;421-450
449;421-450
450;421-450
451;451-480
452;451-480
453;451-480
454;451-480
455;451-480
456;451-480
457;451-480
458;451-480
459;451-480
460;451-480
461;451-480
462;451-480
463;451-480
464;451-480
465;451-480
466;451-480
467;451-480
468;451-480
469;451-480
470;451-480
471;451-480
472;451-480
473;451-480
474;451-480
475;451-480
476;451-480
477;451-480
478;451-480
479;451-480
480;451-480
481;481-720
482;481-720
483;481-720
484;481-720
485;481-720
486;481-720
487;481-720
488;481-720
489;481-720
490;481-720
491;481-720
492;481-720
493;481-720
494;481-720
495;481-720
496;481-720
497;481-720
498;481-720
499;481-720
500;481-720
501;481-720
502;481-720
503;481-720
504;481-720
505;481-720
506;481-720
507;481-720
508;481-720
509;481-720
510;481-720
511;481-720
512;481-720
513;481-720
514;481-720
515;481-720
516;481-720
517;481-720
518;481-720
519;481-720
520;481-720
521;481-720
522;481-720
523;481-720
524;481-720
525;481-720
526;481-720
527;481-720
528;481-720
529;481-720
530;481-720
531;481-720
532;481-720
533;481-720
534;481-720
535;481-720
536;481-720
537;481-720
538;481-720
539;481-720
540;481-720
541;481-720
542;481-720
543;481-720
544;481-720
545;481-720
546;481-720
547;481-720
548;481-720
549;481-720
550;481-720
551;481-720
552;481-720
553;481-720
554;481-720
555;481-720
556;481-720
557;481-720
558;481-720
559;481-720
560;481-720
561;481-720
562;481-720
563;481-720
564;481-720
565;481-720
566;481-720
567;481-720
568;481-720
569;481-720
570;481-720
571;481-720
572;481-720
573;481-720
574;481-720
575;481-720
576;481-720
577;481-720
578;481-720
579;481-720
580;481-720
581;481-720
582;481-720
583;481-720
584;481-720
585;481-720
586;481-720
587;481-720
588;481-720
589;481-720
590;481-720
591;481-720
592;481-720
593;481-720
594;481-720
595;481-720
596;481-720
597;481-720
598;481-720
599;481-720
600;481-720
601;481-720
602;481-720
603;481-720
604;481-720
605;481-720
606;481-720
607;481-720
608;481-720
609;481-720
610;481-720
611;481-720
612;481-720
613;481-720
614;481-720
615;481-720
616;481-720
617;481-720
618;481-720
619;481-720
620;481-720
621;481-720
622;481-720
623;481-720
624;481-720
625;481-720
626;481-720
627;481-720
628;481-720
629;481-720
630;481-720
631;481-720
632;481-720
633;481-720
634;481-720
635;481-720
636;481-720
637;481-720
638;481-720
639;481-720
640;481-720
641;481-720
642;481-720
643;481-720
644;481-720
645;481-720
646;481-720
647;481-720
648;481-720
649;481-720
650;481-720
651;481-720
652;481-720
653;481-720
654;481-720
655;481-720
656;481-720
657;481-720
658;481-720
659;481-720
660;481-720
661;481-720
662;481-720
663;481-720
664;481-720
665;481-720
666;481-720
667;481-720
668;481-720
669;481-720
670;481-720
671;481-720
672;481-720
673;481-720
674;481-720
675;481-720
676;481-720
677;481-720
678;481-720
679;481-720
680;481-720
681;481-720
682;481-720
683;481-720
684;481-720
685;481-720
686;481-720
687;481-720
688;481-720
689;481-720
690;481-720
691;481-720
692;481-720
693;481-720
694;481-720
695;481-720
696;481-720
697;481-720
698;481-720
699;481-720
700;481-720
701;481-720
702;481-720
703;481-720
704;481-720
705;481-720
706;481-720
707;481-720
708;481-720
709;481-720
710;481-720
711;481-720
712;481-720
713;481-720
714;481-720
715;481-720
716;481-720
717;481-720
718;481-720
719;481-720
720;481-720
721;>721
